Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Mammelomys_lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial,"Alhajeri et al, 2020"
Margaretamys_beccarii,130,28,62,24.9,29.6,20.2,0.53,Forest,Arboreal,"Alhajeri et al, 2020"
Margaretamys_christinae,111,20,49,20,24.7,14.8,-3.49,Forest,Arboreal,"Alhajeri et al, 2020"
Mastomys_awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mastomys_coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mastomys_erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mastomys_huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mastomys_kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mastomys_natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mastomys_shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial,"Alhajeri et al, 2020"
Maxomys_alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial,"Alhajeri et al, 2020"
Maxomys_baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial,"Alhajeri et al, 2020"
Maxomys_bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial,"Alhajeri et al, 2020"
Maxomys_ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial,"Alhajeri et al, 2020"
Maxomys_panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial,"Alhajeri et al, 2020"
Melomys_bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial,"Alhajeri et al, 2020"
Melomys_burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial,"Alhajeri et al, 2020"
Melomys_cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial,"Alhajeri et al, 2020"
Melomys_leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial,"Alhajeri et al, 2020"
Melomys_matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial,"Alhajeri et al, 2020"
Melomys_paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial,"Alhajeri et al, 2020"
Meriones_shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial,"Alhajeri et al, 2020"
Mesembriomys_gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal,"Alhajeri et al, 2020"
Mesembriomys_macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal,"Alhajeri et al, 2020"
Micaelamys_namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial,"Alhajeri et al, 2020"
Millardia_kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mus_bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial,"Alhajeri et al, 2020"
